Inventory_Salesforce_Id,Inventory_Id__c,Product_Code__c,Advantage_Id,Advantage_Code,Advantage_Name_IT,Advantage_Name_EN,Advantage_Target_Type
a03SX00000bQxASYA0,10228688884881,0106,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bQxASYA0,10228688884881,0106,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bQyrKYAS,10228688884883,0108,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bQyrKYAS,10228688884883,0108,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bQyrKYAS,10228688884883,0108,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bR0cyYAC,10228688884882,0107,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bR0cyYAC,10228688884882,0107,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bR1xHYAS,10228688884887,0110,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bR1xHYAS,10228688884887,0110,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bR1xHYAS,10228688884887,0110,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bR7JSYA0,10228688884877,0101,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bR7JSYA0,10228688884877,0101,10228687080419,ST2627,ALLIEVI SCUOLE DI TEATRO 2026/27,ALLIEVI SCUOLE DI TEATRO 2026/27,CONTACT
a03SX00000bR7JSYA0,10228688884877,0101,10228688880636,AA30,Riduzione 30%,Riduzione 30%,CONTACT
a03SX00000bR7JSYA0,10228688884877,0101,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bR7JSYA0,10228688884877,0101,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bR7JSYA0,10228688884877,0101,10228696526241,1206,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bR7JTYA0,10228688884878,0103,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bR7JTYA0,10228688884878,0103,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bR7mYYAS,10228688884890,0113,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRDqLYAW,10228688884892,0115,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRDqLYAW,10228688884892,0115,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bRFP3YAO,10228688884879,0104,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRFP3YAO,10228688884879,0104,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bRGbFYAW,10228688884880,0105,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRGbFYAW,10228688884880,0105,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bRJipYAG,10228688884889,0112,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRJipYAG,10228688884889,0112,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bRKqHYAW,10228688884891,0114,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRKqHYAW,10228688884891,0114,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bRN85YAG,10228688884886,0102,10228693499682,AM40,Agevolazione Membership under30,Agevolazione Membership under30,CONTACT
a03SX00000bRN85YAG,10228688884886,0102,10228695387261,CB0013,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bRN85YAG,10228688884886,0102,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bRWzSYAW,10228636523445,BBB2,10228636995723,CB01020,PROMO CORPORATE BENEFITS A,PROMO CORPORATE BENEFITS A,CODE
a03SX00000bRWzSYAW,10228636523445,BBB2,10228636549001,AIC1020,RIDOTTO PROMO 150€/300€,RIDOTTO PROMO 150€/300€,CODE
a03SX00000bRaRtYAK,10228688884888,0111,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRaRtYAK,10228688884888,0111,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bS15WYAS,10228688884893,0116,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bS15WYAS,10228688884893,0116,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bS66pYAC,10228688884896,0119,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bS66pYAC,10228688884896,0119,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bSCoxYAG,10228688884894,0117,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
